Materi,Metode,Media,,,,,,,,,,,,,
"Pengantar Perpajakan,Fungsi pajak",Workshop,Konten media sosial,,,,,,,,,,,,,
"Pengantar Perpajakan,Asas pemungutan pajak",Microlearning,Template PPT sosialisasi SPT WP OP,,,,,,,,,,,,,
"Pengantar Perpajakan,Jenis-jenis pajak (pusat & daerah)",Pendampingan khusus / coaching,Desain infografis tarif pajak / alur layanan,,,,,,,,,,,,,
"Pengantar Perpajakan,Sistem pemungutan pajak",Sosialisasi tatap muka,Buku saku pajak (versi ringkas),,,,,,,,,,,,,
"Ketentuan Umum & Tata Cara Perpajakan (KUP),NPWP & NIK sebagai NPWP",Kelas daring sinkron (webinar),Quiz perpajakan siap pakai,,,,,,,,,,,,,
"Ketentuan Umum & Tata Cara Perpajakan (KUP),Hak & kewajiban Wajib Pajak",Blended learning,Poster edukasi pajak untuk KPP,,,,,,,,,,,,,
"Ketentuan Umum & Tata Cara Perpajakan (KUP),SPT Masa & Tahunan",Study case & problem-based learning,Modul e-learning interaktif,,,,,,,,,,,,,
"Ketentuan Umum & Tata Cara Perpajakan (KUP),Pemeriksaan pajak",Klinik pajak,Podcast pajak,,,,,,,,,,,,,
"Ketentuan Umum & Tata Cara Perpajakan (KUP),Keberatan, banding, PK",Kelas konsultasi kelompok kecil,Animasi penjelasan pajak,,,,,,,,,,,,,
"Ketentuan Umum & Tata Cara Perpajakan (KUP),Sanksi administrasi & pidana",Game-based learning,Newsletter pajak,,,,,,,,,,,,,
"PPh Orang Pribadi,Objek & bukan objek pajak",Simulasi / roleplay WP�petugas,Template email edukasi,,,,,,,,,,,,,
"PPh Orang Pribadi,Penghasilan Kena Pajak (PKP)",Peer learning (antar WP),Simulasi perhitungan pajak digital,,,,,,,,,,,,,
"PPh Orang Pribadi,Tarif progresif OP",Self-paced learning,Flashcard pajak,,,,,,,,,,,,,
"PPh Orang Pribadi,PTKP",Mentoring 1-on-1,Template carousel Instagram,,,,,,,,,,,,,
"PPh Badan,Biaya boleh & tidak boleh dikurangkan",Kelas onboarding WP baru,Mini-games literasi pajak,,,,,,,,,,,,,
"PPh Badan,Penyusutan & amortisasi",Broadcast Whatsapp,Bank soal pajak,,,,,,,,,,,,,
"PPh Badan,Rekonsiliasi fiskal",Broadcast Email,Toolkit edukasi sekolah/kampus,,,,,,,,,,,,,
"PPh Badan,Tarif PPh Badan",Sosialisasi Via Media Sosial,Poster digital untuk TV Display KPP,,,,,,,,,,,,,
"PPh Pemotongan/Pemungutan,PPh 21",,Template WA broadcast edukatif,,,,,,,,,,,,,
"PPh Pemotongan/Pemungutan,PPh 22",,,,,,,,,,,,,,,
"PPh Pemotongan/Pemungutan,PPh 23/26",,,,,,,,,,,,,,,
"PPh Pemotongan/Pemungutan,PPh Final (UMKM, PP 23)",,,,,,,,,,,,,,,
"PPN,Objek PPN",,,,,,,,,,,,,,,
"PPN,Tarif PPN",,,,,,,,,,,,,,,
"PPN,Faktur Pajak",,,,,,,,,,,,,,,
"PPN,Kredit Pajak Masukan/Keluaran",,,,,,,,,,,,,,,
"PPN,PKP dan syaratnya",,,,,,,,,,,,,,,
"PPN,PPN digital",,,,,,,,,,,,,,,
"Pajak Daerah,Pajak Kendaraan Bermotor",,,,,,,,,,,,,,,
"Pajak Daerah,Pajak Hotel & Restoran",,,,,,,,,,,,,,,
"Pajak Daerah,Pajak Hiburan",,,,,,,,,,,,,,,
"Pajak Daerah,Pajak Reklame",,,,,,,,,,,,,,,
"Pajak Daerah,PBB-P2",,,,,,,,,,,,,,,
"Pajak Daerah,BPHTB",,,,,,,,,,,,,,,
"Akuntansi Pajak,Perbedaan komersial & fiskal",,,,,,,,,,,,,,,
"Akuntansi Pajak,Rekonsiliasi fiskal",,,,,,,,,,,,,,,
"Akuntansi Pajak,Pajak tangguhan",,,,,,,,,,,,,,,
"Administrasi Pajak,E-Registration",,,,,,,,,,,,,,,
"Administrasi Pajak,E-Filing",,,,,,,,,,,,,,,
"Administrasi Pajak,E-Billing",,,,,,,,,,,,,,,
"Administrasi Pajak,E-Faktur",,,,,,,,,,,,,,,
"Administrasi Pajak,Pelaporan pajak digital",,,,,,,,,,,,,,,
"Perpajakan Internasional,Tax treaty (P3B)",,,,,,,,,,,,,,,
"Perpajakan Internasional,Transfer pricing",,,,,,,,,,,,,,,
"Perpajakan Internasional,BEPS",,,,,,,,,,,,,,,
"Perpajakan Internasional,Dokumentasi TP Doc",,,,,,,,,,,,,,,
"Isu Perpajakan Terkini,Reformasi perpajakan (UU HPP)",,,,,,,,,,,,,,,
"Isu Perpajakan Terkini,Pajak karbon",,,,,,,,,,,,,,,
"Isu Perpajakan Terkini,Digitalisasi sistem DJP",,,,,,,,,,,,,,,
"Isu Perpajakan Terkini,Perubahan tarif PPN/PPh",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
